lang,color,n_docs,n_proper_noun_flagged,pct_proper_noun_flagged,topic_idx,top_words,Translation ,primary,secondary,denonatitive or connotative,label
en,green,1500,741,49.4,3,"green, white, colours, gold, south, included, station, avenue, war, route",,Ecology & environment,,unknown,geographic
en,green,1500,741,49.4,4,"green, party, jersey, leader, classification, wore, national, zone, leadership, tree",,named entity,Politics & ideology,Association,politics?
en,green,1500,741,49.4,5,"green, university, peter, goblin, club, harry, river, central, rowing, wisconsin",,Unknown,,unknown,unknown
en,green,1500,741,49.4,6,"green, school, street, cemetery, party, wood, climate, london, players, local",,Ecology & environment,,Occurence,community or institutions
en,green,1500,741,49.4,7,"green, dartmouth, football, seasons, light, rail, calgary, alberta, canada, planned",,named entity,,Occurence,Calgary train system / athletics
en,green,1500,741,49.4,8,"green, bowling, 2021, recovery, 2020, july, covid, 19, june, played",,named entity,,Occurence,unknown?
en,green,1500,741,49.4,9,"green, board, california, county, located, women, traffic, lost, director, average",,Power structures or hierarchies,,Occurence,life / institutions
en,green,1500,741,49.4,10,"green, bay, public, energy, party, sustainable, including, government, packers, petals",,Ecology & environment,Power structures or hierarchies,Association,environment
en,green,1500,741,49.4,11,"green, city, family, space, painted, park, 2017, species, april, church",,Ecology & environment,,Occurence,community or institutions
en,green,1500,741,49.4,12,"green, form, lobe, wide, head, tube, sepals, lobes, upper, coach",,physical description,,Occurence,environment
en,green,1500,741,49.4,13,"green, station, district, metro, federal, production, orange, brazilian, lines, matt",,named entity,,Occurence,infrastructure
en,green,1500,741,49.4,14,"green, red, blue, black, yellow, dark, brown, white, gray, bright",,Colour co-occurrence,,Occurence,colours / aesthetics
en,green,1500,741,49.4,15,"green, leaves, shaped, egg, narrow, flowers, hairs, wide, covered, shrub",,physical description,,Occurence,environment
en,yellow,1500,391,26.1,1,"yellow, river, banner, chinese, clan, consort, bordered, golden, plain, heads",,Belief and ritual,,Association,chinese institutions?
en,yellow,1500,391,26.1,2,"yellow, red, blue, white, green, orange, colour, colours, wearing, bright",,Colour co-occurrence,,Occurence,colours / aesthetics
en,yellow,1500,391,26.1,3,"yellow, flowers, leaves, shaped, pink, white, shrub, greenish, red, pale",,physical description,,Occurence,environment /colours
en,yellow,1500,391,26.1,4,"yellow, jackets, players, frankford, jersey, wore, classification, sun, stage, win",,named entity,,Occurence,athletics 
en,yellow,1500,391,26.1,5,"yellow, card, cards, red, received, station, washington, minute, silver, match",,Arts & entertainment,Conflict ,Occurence,athletics 
en,yellow,1500,391,26.1,6,"yellow, fever, brown, expression, 18, body, bellied, light, pigmentation, reddish",,Warnings,Warnings,Association,illness / environment
en,yellow,1500,391,26.1,7,"yellow, time, gray, indian, late, black, rose, flags, red, bridge",,Arts & entertainment,,Occurence,Aesthetics
en,yellow,1500,391,26.1,8,"yellow, common, western, jersey, eurasian, european, heron, northern, team, black",,Ecology & environment,,Occurence,geographic
en,yellow,1500,391,26.1,9,"yellow, black, banner, species, include, south, hong, kong, font, central",,Arts & entertainment,Ecology & environment,Occurence,geographic
en,yellow,1500,391,26.1,10,"yellow, spots, form, brown, segments, race, king, sponge, final, police",,Unknown,,unknown,unknown
en,yellow,1500,391,26.1,11,"yellow, black, painted, matter, flag, lives, street, june, city, white",,Social Movement,Arts & entertainment,Association,social or political movements 
en,yellow,1500,391,26.1,12,"yellow, head, red, surface, november, species, july, flowers, black, region",,Unknown,,unknown,unknown
en,yellow,1500,391,26.1,13,"yellow, jackets, football, played, arsenic, frankford, league, national, nfl, season",,named entity,,Occurence,athletics 
en,yellow,1500,391,26.1,14,"yellow, blue, color, book, colors, green, red, brown, white, background",,Colour co-occurrence,,Occurence,colours / aesthetics
en,yellow,1500,391,26.1,15,"yellow, pale, white, base, pine, flower, blue, ribbon, stripes, wide",,physical description,Arts & entertainment,Occurence,environment 
en,blue,1500,885,59,1,"blue, city, kansas, league, stockings, jazz, blues, house, studio, terrasson",,Arts & entertainment,,Occurence,athletics / music 
en,blue,1500,885,59,2,"blue, red, white, yellow, players, colour, collar, flag, winnipeg, bombers",,Colour co-occurrence,,Occurence,colours / aesthetics
en,blue,1500,885,59,3,"blue, play, mountains, gold, club, life, sky, season, florida, jays",,named entity,,Occurence,geographic / athletics
en,blue,1500,885,59,4,"blue, shift, including, election, eyes, party, 2018, july, colored, votes",,Politics & ideology,,Association,political
en,blue,1500,885,59,5,"blue, black, note, album, records, released, vinyl, white, brown, albums",,Arts & entertainment,,Occurence,colours / music 
en,blue,1500,885,59,6,"blue, water, river, 14, jays, 12, london, theatre, azure, house",,Ecology & environment,,Occurence,nature
en,blue,1500,885,59,7,"blue, league, ridge, station, metro, lines, washington, team, games, west",,named entity,,Occurence,geographic / athletics
en,blue,1500,885,59,8,"blue, devils, duke, album, band, women, series, green, players, basketball",,named entity,,Occurence,athletics
en,blue,1500,885,59,9,"blue, played, bombers, winnipeg, book, football, player, canadian, born, korean",,named entity,,Occurence,athletics
en,blue,1500,885,59,10,"hens, blue, delaware, football, fightin, seasons, 1952, 1957, including, initially",,named entity,,Occurence,athletics
en,blue,1500,885,59,11,"blue, nbc, stars, network, sea, set, star, called, painted, red",,Arts & entertainment,,Occurence,media
en,blue,1500,885,59,12,"football, team, delaware, college, university, blue, season, american, represented, hens",,named entity,,Occurence,education / athletics
en,blue,1500,885,59,13,"blue, white, pale, game, light, song, colours, purple, orange, flowers",,Colour co-occurrence,Arts & entertainment,Occurence,colours / environment
en,blue,1500,885,59,14,"blue, green, colors, silver, yellow, dark, ribbon, main, company, wall",,Arts & entertainment,,Occurence,colours
en,blue,1500,885,59,15,"blue, film, awards, dragon, record, award, held, total, season, head",,named entity,,Occurence,award? 
en,brown,1500,778,51.9,1,"brown, black, dark, yellow, white, color, blue, green, red, species",,Colour co-occurrence,,Occurence,colour / aesthetics
en,brown,1500,778,51.9,2,"brown, football, team, university, played, games, island, season, providence, represented",,named entity,,Occurence,athletics
en,brown,1500,778,51.9,3,"brown, women, college, film, 2019, book, time, president, director, center",,named entity,,Occurence,Institutions
en,brown,1500,778,51.9,4,"brown, haig, season, named, captain, record, west, time, robert, roderick",,named entity,,Occurence,athletics 
en,brown,1500,778,51.9,5,"brown, skin, national, girl, museum, march, head, received, university, ferguson",,Identity ,Social Movement,Association,social movement 
en,brown,1500,778,51.9,6,"brown, reddish, white, shaped, pale, governor, body, bear, local, egg",,physical description,,Occurence,environment
en,brown,1500,778,51.9,7,"brown, chris, released, track, singer, song, series, album, house, ann",,Arts & entertainment,,Occurence,entertainment
en,brown,1500,778,51.9,8,"brown, university, born, american, alumni, 2018, college, jr, degree, anthony",,named entity,,Occurence,education
en,brown,1500,778,51.9,9,"brown, bears, seasons, football, published, south, 2001, expedition, van, eyed",,named entity,,Occurence,environment / athletics 
en,brown,1500,778,51.9,10,"brown, play, yellowish, alexander, modern, daniel, russell, game, wife, future",,Unknown,,unknown,unknown 
en,brown,1500,778,51.9,11,"brown, charlie, film, named, buechner, department, boy, soundtrack, red, colour",,Arts & entertainment,named entity,Occurence,entertainment 
en,brown,1500,778,51.9,12,"brown, county, district, including, written, southern, court, public, wisconsin, city",,named entity,,Occurence,institutions
en,brown,1500,778,51.9,13,"brown, league, ivy, finished, tied, professor, university, fulton, fourth, chicago",,named entity,,Occurence,education / athletics
en,brown,1500,778,51.9,14,"brown, john, james, music, album, peter, wrote, hall, square, charles",,named entity,,Occurence,names
en,brown,1500,778,51.9,15,"brown, school, law, york, united, american, 2020, august, november, october",,named entity,,Occurence,education 
en,orange,1500,730,48.7,1,"orange, yellow, fruit, principality, association, list, petals, include, complete, lemon",,Ecology & environment,,Occurence,environment 
en,orange,1500,730,48.7,2,"orange, south, family, cake, 15, avenue, ireland, day, vanilla, island",,Food & drink,,Occurence,food
en,orange,1500,730,48.7,3,"orange, school, city, county, served, beach, january, season, street, florida",,Life experiences,,Occurence,geographic
en,orange,1500,730,48.7,4,"orange, 000, exclusive, red, limited, created, stripes, yellow, street, named",,Arts & entertainment,,Occurence,colour / aesthetics 
en,orange,1500,730,48.7,5,"orange, book, 2021, texas, 2020, war, bowl, moved, february, blue",,Unknown,,unknown,unknown 
en,orange,1500,730,48.7,6,"orange, bowl, championship, league, played, national, football, tornadoes, series, county",,named entity,,Occurence,athletics
en,orange,1500,730,48.7,7,"orange, red, flowers, leaves, shaped, species, white, yellow, pale, yellowish",,Ecology & environment,,Occurence,environment
en,orange,1500,730,48.7,8,"orange, county, florida, district, station, public, brown, lake, metro, green",,Ecology & environment,,Occurence,geographic 
en,orange,1500,730,48.7,9,"orange, county, california, jersey, east, born, york, players, school, american",,named entity,,Occurence,athletics / geographic
en,orange,1500,730,48.7,10,"orange, club, football, athletic, team, film, golden, award, american, festival",,named entity,,Occurence,entertainment / athletics
en,orange,1500,730,48.7,11,"orange, water, john, los, angeles, studios, album, studio, blossom, company",,Arts & entertainment,,Occurence,entertainment
en,orange,1500,730,48.7,12,"orange, black, blue, green, color, white, bright, red, yellow, brown",,Colour co-occurrence,,Occurence,colour/aesthetics
en,orange,1500,730,48.7,13,"orange, prince, juice, included, including, william, silver, van, town, cocktail",,Food & drink,,Occurence,food 
en,orange,1500,730,48.7,14,"orange, syracuse, jersey, players, 2020, people, football, basketball, october, women",,named entity,,Occurence,athletics
en,orange,1500,730,48.7,15,"orange, nassau, north, metro, nagpur, south, william, station, corridor, elevated",,named entity,,Occurence,geographic 
en,pink,1500,464,30.9,1,"pink, film, sandstone, loerie, western, station, china, slip, knysna, composed",,named entity,,Occurence,geographic  / entertainment
en,pink,1500,464,30.9,2,"pink, blue, color, green, yellow, red, white, light, orange, black",,Colour co-occurrence,,Occurence,colour/aesthetics
en,pink,1500,464,30.9,3,"pink, women, museum, palace, south, cream, copies, project, black, variety",,Life experiences,,Occurence,institutions
en,pink,1500,464,30.9,4,"pink, floyd, album, style, band, song, background, released, music, lady",,named entity,,Occurence,entertainment 
en,pink,1500,464,30.9,5,"pink, wore, wearing, team, cloud, garden, jersey, stage, classification, plants",,physical description,,Occurence,unknown 
en,pink,1500,464,30.9,6,"pink, petals, sepals, white, party, marble, triangular, flower, hair, shaped",,physical description,,Occurence,environment 
en,pink,1500,464,30.9,7,"pink, gay, original, 2018, 2019, house, soundtrack, announced, loerie, motion",,named entity,,Occurence,entertainment
en,pink,1500,464,30.9,8,"pink, plant, flowers, short, bright, flower, green, gold, flowering, time",,physical description,,Occurence,environment / aesthetics
en,pink,1500,464,30.9,9,"pink, rose, panther, series, granite, english, color, june, common, television",,named entity,,Occurence,entertainment 
en,pink,1500,464,30.9,10,"pink, water, day, flowers, stems, growing, summer, tank, spring, cover",,physical description,,Occurence,environment 
en,pink,1500,464,30.9,11,"pink, code, city, dress, gray, black, brown, 16, tones, edition",,Colour co-occurrence,,Occurence,colours
en,pink,1500,464,30.9,12,"pink, colored, rock, play, rocks, green, rounded, cards, performance, paint",,Arts & entertainment,Ecology & environment,Occurence,entertainment / environment
en,pink,1500,464,30.9,13,"pink, white, flowers, purple, yellow, florets, red, shaped, pale, head",,physical description,Ecology & environment,Occurence,environment
en,pink,1500,464,30.9,14,"pink, leaves, flowers, shrub, pale, shaped, white, arranged, red, egg",,physical description,Ecology & environment,Occurence,environment
en,pink,1500,464,30.9,15,"pink, species, dianthus, black, character, family, called, native, duck, body",,physical description,Ecology & environment,Occurence,environment 
en,purple,1500,534,35.6,1,"purple, released, tree, lakers, diameter, gold, 25, album, wore, fruit",,named entity,,Occurence,unknown
en,purple,1500,534,35.6,2,"purple, pink, white, florets, flowers, yellow, colour, ribbon, season, head",,physical description,,Occurence,environment
en,purple,1500,534,35.6,3,"purple, deep, party, band, voiced, house, hair, dog, rock, including",,named entity,,Occurence,entertainment
en,purple,1500,534,35.6,4,"purple, shaped, base, 2018, yellow, corolla, herb, short, stem, fruit",,physical description,,Occurence,food
en,purple,1500,534,35.6,5,"purple, metro, station, corridor, india, elevated, east, west, namma, south",,named entity,,Occurence,geographic 
en,purple,1500,534,35.6,6,"purple, colors, school, mountain, united, pilgrims, knights, october, represent, gold",,named entity,,Occurence,geographic 
en,purple,1500,534,35.6,7,"purple, grass, team, disco, machine, song, rain, played, featured, moor",,Arts & entertainment,,Occurence,environment /entertainment
en,purple,1500,534,35.6,8,"purple, green, blue, black, colours, brown, hills, light, red, grey",,Colour co-occurrence,,Occurence,colours / aesthetics
en,purple,1500,534,35.6,9,"purple, white, color, yellow, blue, orange, red, petals, pink, green",,Arts & entertainment,,Occurence,colour / aesthetics 
en,purple,1500,534,35.6,10,"purple, leaves, flowers, shaped, shrub, egg, erect, cross, mauve, leaf",,physical description,,Occurence,environment 
en,purple,1500,534,35.6,11,"purple, 2023, court, civil, pcmc, 2022, july, series, bhavan, southern",,named entity,,Occurence,unknown 
en,purple,1500,534,35.6,12,"purple, heart, star, medal, awarded, service, distinguished, received, war, bronze",,named entity,,Occurence,award
en,purple,1500,534,35.6,13,"purple, flowers, lobes, upper, lobe, wide, white, kiss, sepals, single",,physical description,,Occurence,environment
en,purple,1500,534,35.6,14,"purple, tube, petals, mauve, white, dark, light, spots, brown, form",,physical description,,Occurence,environment
en,purple,1500,534,35.6,15,"purple, common, species, red, brown, black, reddish, flowers, dark, white",,Colour co-occurrence,Ecology & environment,Occurence,environment / colours
en,gray,1500,553,36.9,1,"gray, inn, zealand, party, grey, leader, house, governor, james, lieutenant",,named entity,,Occurence,politics 
en,gray,1500,553,36.9,2,"grey, gray, film, character, series, anatomy, announced, album, based, cast",,named entity,Arts & entertainment,Occurence,entertainment
en,gray,1500,553,36.9,3,"gray, chantelle, willow, white, stone, band, named, taylor, including, basquiat",,Arts & entertainment,,Occurence,entertainment / aesthetics
en,gray,1500,553,36.9,4,"gray, color, daughter, grey, runs, wife, game, nationals, 2022, innings",,named entity,,Occurence,athletics / life
en,gray,1500,553,36.9,5,"gray, black, grey, white, dark, green, blue, red, light, brown",,Colour co-occurrence,,Occurence,colours / aesthetics
en,gray,1500,553,36.9,6,"grey, jean, lady, film, street, sloan, levi, jane, january, janssen",,named entity,,Occurence,proper names
en,gray,1500,553,36.9,7,"grey, south, born, wolf, period, led, zone, public, birds, named",,physical description,,Occurence,environment 
en,gray,1500,553,36.9,8,"grey, voiced, son, griffin, david, covered, water, hairs, 2020, shades",,Unknown,,unknown,unknown 
en,gray,1500,553,36.9,9,"grey, college, time, county, building, council, berkshire, built, race, left",,Life experiences,Power structures or hierarchies,Occurence,institutions
en,gray,1500,553,36.9,10,"gray, book, red, orange, grey, blue, century, published, war, yellow",,Arts & entertainment,,Occurence,colours / entertainment
en,gray,1500,553,36.9,11,"grey, gray, brown, school, pale, common, upper, university, surface, art",,Colour co-occurrence,,Occurence,institution / colours
en,gray,1500,553,36.9,12,"gray, grey, limestone, formation, sandstone, brown, florida, consists, children, fine",,Colour co-occurrence,,Occurence,environment / geographic 
en,gray,1500,553,36.9,13,"gray, april, american, 17, 29, vermont, law, league, 24, march",,Noise,,unknown,unknown 
en,gray,1500,553,36.9,14,"gray, september, 12, august, rockies, 18, july, arsenic, 11, l1",,Noise,,unknown,unknown 
en,gray,1500,553,36.9,15,"grey, season, cup, john, including, award, charles, gray, 2017, earl",,named entity,,Occurence,athletics
fr,black,1500,226,15.1,1,"noire, cours, eau, vallée, grande, point, projet, pointe, peinture, congo","black, river/course, water, valley, large, point, project, tip, painting, Congo",Ecology & environment,named entity,Occurence,environment / education?
fr,black,1500,226,15.1,2,"noir, 2014, prix, enfants, peur, théâtre, québec, conseil, meilleur, femme","black, 2014, award, children, fear, theatre, Quebec, advice, best, woman",Arts & entertainment,,Occurence,award
fr,black,1500,226,15.1,3,"noires, noirs, noire, taches, chevaliers, maladie, nuit, fée, membre, mains","black, black people, black woman, spots, knights, illness, night, fairy, limb, hands",Unknown,,unknown,myths / illness
fr,black,1500,226,15.1,4,"rivière, noires, épinettes, péribonka, côté, nord, alex, ouest, petite, lac","river, black, spruce, Péribonka, side, north, Alex, west, small, lake",Ecology & environment,,Occurence,geographic / nature 
fr,black,1500,226,15.1,5,"noir, rouge, blanc, couleurs, trou, vote, jaune, couleur, supermassif, forme","black, red, white, colours, hole, vote, yellow, colour, supermassive, shape",Colour co-occurrence,,Occurence,space / colours 
fr,black,1500,226,15.1,6,"noir, or, porte, russe, petit, éclair, 2009, argent, public, rive","black, gold, door, Russian, small, lightning, 2009, silver, public, riverbank",Colour co-occurrence,,Occurence,
fr,black,1500,226,15.1,7,"noirs, noires, catégories, fin, années, moutons, généralement, fées, monde, marie","black men, black women, categories, end, years, sheep, generally, fairies, world, Marie",Unknown,,unknown,
fr,black,1500,226,15.1,8,"noir, scène, blanc, film, muet, met, réalisé, festival, pin, premiers","black, scene, white, film, silent, directed, festival, pine, premieres",Arts & entertainment,,Occurence,
fr,black,1500,226,15.1,9,"noire, noirs, pointe, blancs, ans, noir, père, embouchure, époque, village","black, blacks, tip, whites, years, black, father, mouthpiece, era, village",Life experiences,,Occurence,
fr,black,1500,226,15.1,10,"noir, blanc, film, français, américain, italien, britannique, allemand, japonais, danois","black, white, film, French, American, Italian, British, German, Japanese, Danish",Ecology & environment,named entity,Occurence,
fr,black,1500,226,15.1,11,"noire, noires, canal, rue, forêt, ville, principalement, partie, lac, rose","black, blacks, canal, street, forest, town, mainly, part, lake, pink",Ecology & environment,,Occurence,
fr,black,1500,226,15.1,12,"noire, lac, sud, noir, pays, noirs, cheveux, ouest, montagne, longueur","black, lake, south, black, country, black people, hair, west, mountain, length",Identity ,,Association,
fr,black,1500,226,15.1,13,"format, blanc, noir, muet, 33, mm, 35, mono, 37, 66","format, black and white, silent, 33, mm, 35, mono, 37, 66",Arts & entertainment,,Occurence,Entertainment
fr,black,1500,226,15.1,14,"noire, mer, sud, cours, noir, bassin, jean, région, clotilde, espèces","black, sea, south, river, black, basin, jeans, region, Clotilde, species",named entity,Ecology & environment,Occurence,
fr,black,1500,226,15.1,15,"noire, lanterne, mer, blanc, phare, peint, dôme, corps, couleur, flotte","black, lantern, sea, white, lighthouse, painted, dome, body, colour, fleet",physical description,,Occurence,
fr,white,1500,177,11.8,1,"blanc, noir, film, français, italien, allemand, foncé, pyrenaearia, coquille, brun","white, black, film, French, Italian, German, dark, Pyrenaearia, shell, brown",Arts & entertainment,Colour co-occurrence,Occurence,
fr,white,1500,177,11.8,2,"blanc, blanche, pont, fin, série, équipe, mont, manger, membre, hommage","white, white, bridge, end, series, team, mount, to eat, member, tribute",Arts & entertainment,,Occurence,
fr,white,1500,177,11.8,3,"blanches, blanc, bandes, brun, partie, horizontales, blanche, taches, ville, rouge","white, white, bands, brown, part, horizontal, white, spots, town, red",Identity ,,Occurence,
fr,white,1500,177,11.8,4,"blanche, rivière, nord, lac, sud, ouest, blanc, côté, filles, lumière","white, river, north, lake, south, west, white, side, girls, light",Ecology & environment,,Occurence,
fr,white,1500,177,11.8,5,"blancs, éclats, clotilde, brefs, 12, temps, blanche, maison, hommes, route","white, flashes, Clotilde, brief, 12, time, white, house, men, road",Belief and ritual,physical description,Association,
fr,white,1500,177,11.8,6,"blanc, lanterne, phare, tour, peint, blanche, rouge, peinte, dôme, noire","white, lantern, lighthouse, tower, painted, white, red, painted, dome, black",Arts & entertainment,Colour co-occurrence,Occurence,
fr,white,1500,177,11.8,7,"blanche, blanc, fleurs, blancs, robe, enfants, clough, femmes, galerie, nouvelle","white, white, flowers, white, dress, children, Clough, women, gallery, new",Arts & entertainment,,Occurence,
fr,white,1500,177,11.8,8,"blanche, blanc, couleur, bande, rose, corps, jaune, maison, large, manteau","white, white, colour, band, pink, body, yellow, house, wide, coat",Colour co-occurrence,,Occurence,
fr,white,1500,177,11.8,9,"nautiques, feu, milles, km, blanc, portée, rouge, vert, 19, 20","nautical, light, miles, km, white, range, red, green, 19, 20",Colour co-occurrence,,Occurence,
fr,white,1500,177,11.8,10,"blanc, forme, présente, foncé, solide, secteur, dorsale, québec, face, gris","white, form, presents, dark, solid, sector, ridge, Quebec, face, grey",Identity ,,Occurence,
fr,white,1500,177,11.8,11,"blanc, blanches, blanche, pierre, porte, charles, années, origine, blancs, photographie","white, white, white, stone, door, Charles, years, origin, white, photography",Arts & entertainment,,Occurence,
fr,white,1500,177,11.8,12,"blanc, noir, film, américain, muet, britannique, scène, met, japonais, livre","white, black, film, American, silent, British, scene, puts, Japanese, book",Arts & entertainment,,Occurence,
fr,white,1500,177,11.8,13,"format, blanc, noir, muet, 33, 35, mm, mono, 37, philippe","format, white, black, silent, 33, 35, mm, mono, 37, Philippe",Arts & entertainment,,Occurence,
fr,white,1500,177,11.8,14,"émet, hauteur, focale, secondes, période, blanc, éclat, feu, long, secteurs","emits, height, focal, seconds, period, white, flash, light, long, sectors",Arts & entertainment,,Occurence,
fr,white,1500,177,11.8,15,"blanche, blancs, noirs, bois, maison, new, carte, louis, 2017, york","white (f.), white (m.pl.), black (m.pl.), wood, house, new, map, Louis, 2017, York",Unknown,,unknown,
fr,red,1500,326,21.7,1,"jour, rouge, donne, mesure, décalage, basée, redshift, distance, portrait, cas","day, red, gives, measure, shift, based, redshift, distance, portrait, case",Arts & entertainment,,Occurence,
fr,red,1500,326,21.7,2,"rouge, hauteur, focale, émet, secondes, secteurs, blanc, éclat, feu, période","red, height, focal, emits, seconds, sectors, white, flash, light, period",Arts & entertainment,,Occurence,
fr,red,1500,326,21.7,3,"rouge, vert, couleurs, jaune, noir, bleu, rouges, couleur, foncé, the","red, green, colours, yellow, black, blue, reds, colour, dark, the",Colour co-occurrence,,Occurence,
fr,red,1500,326,21.7,4,"rouge, nautiques, feu, milles, km, drapeau, blanc, ordre, portée, travail","red, nautical, light, miles, km, flag, white, order, range, work",Colour co-occurrence,,Occurence,
fr,red,1500,326,21.7,5,"rivière, rouge, lac, côté, péribonka, sud, épinette, nord, port, production","river, red, lake, side, Péribonka, south, spruce, north, port, production",named entity,,Occurence,
